MemberNo,CaseNo,Fxa,Fya,Fza,Mxa,Mya,Mza,Fxb,Fyb,Fzb,Mxb,Myb,Mzb,mp
102,1,-124.18,1.1883,0,0,0,1.0718,124.18,-1.1883,0,0,0,1.3047,10
103,1,-235.18,0.60255,0,0,0,-0.027644,235.18,-0.60255,0,0,0,1.2328,10
104,1,-333.24,0.62099,0,0,0,-0.17391,333.24,-0.62099,0,0,0,1.4159,10
105,1,-418.19,0.51292,0,0,0,-0.48374,418.19,-0.51292,0,0,0,1.5096,10
106,1,-490.09,0.43222,0,0,0,-0.72382,490.09,-0.43222,0,0,0,1.5883,10
107,1,-548.9,0.34423,0,0,0,-0.94465,548.9,-0.34423,0,0,0,1.6331,10
108,1,-594.66,0.25971,0,0,0,-1.1326,594.66,-0.25971,0,0,0,1.6521,10
109,1,-627.32,0.17227,0,0,0,-1.2944,627.32,-0.17227,0,0,0,1.6389,10
110,1,-646.94,0.087804,0,0,0,-1.4243,646.94,-0.087804,0,0,0,1.5999,10
111,1,-653.46,0.00027624,0,0,0,-1.5281,653.46,-0.00027624,0,0,0,1.5286,10
112,1,-646.94,-0.084205,0,0,0,-1.5998,646.94,0.084205,0,0,0,1.4314,10
113,1,-627.32,-0.17164,0,0,0,-1.6455,627.32,0.17164,0,0,0,1.3022,10
114,1,-594.65,-0.25618,0,0,0,-1.6592,594.65,0.25618,0,0,0,1.1468,10
115,1,-548.89,-0.34346,0,0,0,-1.6467,548.89,0.34346,0,0,0,0.95975,10
116,1,-490.08,-0.42895,0,0,0,-1.6027,490.08,0.42895,0,0,0,0.74486,10
117,1,-418.17,-0.51173,0,0,0,-1.5299,418.17,0.51173,0,0,0,0.50648,10
118,1,-333.22,-0.61865,0,0,0,-1.4381,333.22,0.61865,0,0,0,0.20084,10
119,1,-235.16,-0.59817,0,0,0,-1.2585,235.16,0.59817,0,0,0,0.062181,10
120,1,-124.15,-1.2002,0,0,0,-1.3411,124.15,1.2002,0,0,0,-1.0593,10
201,1,47.12,0.82147,0,0,0,0.63531,-47.12,-0.82147,0,0,0,1.0076,20
202,1,165.89,0.71182,0,0,0,0.23616,-165.89,-0.71182,0,0,0,1.1875,20
203,1,272.17,0.65454,0,0,0,-0.0387,-272.17,-0.65454,0,0,0,1.3478,20
204,1,365.26,0.55638,0,0,0,-0.34825,-365.26,-0.55638,0,0,0,1.461,20
205,1,445.29,0.475,0,0,0,-0.60382,-445.29,-0.475,0,0,0,1.5538,20
206,1,512.26,0.38676,0,0,0,-0.83958,-512.26,-0.38676,0,0,0,1.6131,20
207,1,566.14,0.30245,0,0,0,-1.0417,-566.14,-0.30245,0,0,0,1.6466,20
208,1,606.98,0.21489,0,0,0,-1.2183,-606.98,-0.21489,0,0,0,1.6481,20
209,1,634.71,0.13049,0,0,0,-1.3625,-634.71,-0.13049,0,0,0,1.6235,20
210,1,649.41,0.042929,0,0,0,-1.481,-649.41,-0.042929,0,0,0,1.5668,20
211,1,651,-0.041547,0,0,0,-1.5671,-651,0.041547,0,0,0,1.484,20
212,1,639.55,-0.12897,0,0,0,-1.6274,-639.55,0.12897,0,0,0,1.3694,20
213,1,615,-0.21353,0,0,0,-1.6556,-615,0.21353,0,0,0,1.2285,20
214,1,577.41,-0.30093,0,0,0,-1.6577,-577.41,0.30093,0,0,0,1.0558,20
215,1,526.71,-0.38542,0,0,0,-1.6278,-526.71,0.38542,0,0,0,0.85693,20
216,1,462.98,-0.47348,0,0,0,-1.572,-462.98,0.47348,0,0,0,0.62498,20
217,1,386.14,-0.55488,0,0,0,-1.4828,-386.14,0.55488,0,0,0,0.37301,20
218,1,296.28,-0.65378,0,0,0,-1.3734,-296.28,0.65378,0,0,0,0.065781,20
219,1,193.2,-0.70718,0,0,0,-1.215,-193.2,0.70718,0,0,0,-0.19936,20
220,1,77.671,-0.8333,0,0,0,-1.0455,-77.671,0.8333,0,0,0,-0.62112,20
401,1,-138.5,-0.52589,0,0,0,-0.63531,138.5,0.52589,0,0,0,-0.54062,40
402,1,137.16,-0.48469,0,0,0,-0.53117,-137.16,0.48469,0,0,0,-0.55262,40
403,1,-122.68,-0.58805,0,0,0,-0.69109,122.68,0.58805,0,0,0,-0.6238,40
404,1,123.29,-0.5307,0,0,0,-0.65329,-123.29,0.5307,0,0,0,-0.53338,40
405,1,-108.7,-0.49312,0,0,0,-0.61539,108.7,0.49312,0,0,0,-0.48728,40
406,1,108.67,-0.4465,0,0,0,-0.57156,-108.67,0.4465,0,0,0,-0.42685,40
407,1,-94.114,-0.43706,0,0,0,-0.57269,94.114,0.43706,0,0,0,-0.40457,40
408,1,94.19,-0.38786,0,0,0,-0.52759,-94.19,0.38786,0,0,0,-0.33969,40
409,1,-79.646,-0.37147,0,0,0,-0.51749,79.646,0.37147,0,0,0,-0.31315,40
410,1,79.738,-0.32422,0,0,0,-0.4726,-79.738,0.32422,0,0,0,-0.25237,40
411,1,-65.155,-0.30815,0,0,0,-0.46188,65.155,0.30815,0,0,0,-0.22715,40
412,1,65.201,-0.26163,0,0,0,-0.41646,-65.201,0.26163,0,0,0,-0.16856,40
413,1,-50.668,-0.2443,0,0,0,-0.40281,50.668,0.2443,0,0,0,-0.14347,40
414,1,50.772,-0.19872,0,0,0,-0.357,-50.772,0.19872,0,0,0,-0.087337,40
415,1,-36.18,-0.18058,0,0,0,-0.34104,36.18,0.18058,0,0,0,-0.062739,40
416,1,36.221,-0.136,0,0,0,-0.29492,-36.221,0.136,0,0,0,-0.0091898,40
417,1,-21.692,-0.11682,0,0,0,-0.27635,21.692,0.11682,0,0,0,0.015128,40
418,1,21.8,-0.073105,0,0,0,-0.22978,-21.8,0.073105,0,0,0,0.066312,40
419,1,-7.2046,-0.053077,0,0,0,-0.20884,7.2046,0.053077,0,0,0,0.090161,40
420,1,7.245,-0.01039,0,0,0,-0.16198,-7.245,0.01039,0,0,0,0.13875,40
421,1,7.283,0.010686,0,0,0,-0.13843,-7.283,-0.010686,0,0,0,0.16233,40
422,1,-7.1778,0.052507,0,0,0,-0.091116,7.1778,-0.052507,0,0,0,0.20852,40
423,1,21.77,0.074431,0,0,0,-0.0652,-21.77,-0.074431,0,0,0,0.23163,40
424,1,-21.724,0.11522,0,0,0,-0.017605,21.724,-0.11522,0,0,0,0.27525,40
425,1,36.258,0.13816,0,0,0,0.010887,-36.258,-0.13816,0,0,0,0.29806,40
426,1,-36.15,0.17812,0,0,0,0.058967,36.15,-0.17812,0,0,0,0.33931,40
427,1,50.746,0.20192,0,0,0,0.08984,-50.746,-0.20192,0,0,0,0.36166,40
428,1,-50.699,0.24082,0,0,0,0.13818,50.699,-0.24082,0,0,0,0.4003,40
429,1,65.234,0.26569,0,0,0,0.17168,-65.234,-0.26569,0,0,0,0.42243,40
430,1,-65.129,0.3038,0,0,0,0.22057,65.129,-0.3038,0,0,0,0.45875,40
431,1,79.719,0.3293,0,0,0,0.25627,-79.719,-0.3293,0,0,0,0.48005,40
432,1,-79.67,0.3661,0,0,0,0.30504,79.67,-0.3661,0,0,0,0.51357,40
433,1,94.217,0.39383,0,0,0,0.34423,-94.217,-0.39383,0,0,0,0.53641,40
434,1,-94.096,0.43088,0,0,0,0.39524,94.096,-0.43088,0,0,0,0.56822,40
435,1,108.66,0.45338,0,0,0,0.43212,-108.66,-0.45338,0,0,0,0.58165,40
436,1,-108.72,0.48557,0,0,0,0.47605,108.72,-0.48557,0,0,0,0.60971,40
437,1,123.32,0.539,0,0,0,0.53952,-123.32,-0.539,0,0,0,0.66575,40
438,1,-122.66,0.58136,0,0,0,0.61316,122.66,-0.58136,0,0,0,0.68679,40
439,1,137.13,0.49101,0,0,0,0.55804,-137.13,-0.49101,0,0,0,0.53986,40
440,1,-138.48,0.51008,0,0,0,0.51944,138.48,-0.51008,0,0,0,0.62112,40
102,2,-58.419,0.55902,0,0,0,0.50423,58.419,-0.55902,0,0,0,0.61382,10
103,2,-110.64,0.28347,0,0,0,-0.013005,110.64,-0.28347,0,0,0,0.57995,10
104,2,-156.77,0.29215,0,0,0,-0.081815,156.77,-0.29215,0,0,0,0.66611,10
105,2,-196.74,0.2413,0,0,0,-0.22758,196.74,-0.2413,0,0,0,0.71019,10
106,2,-230.56,0.20334,0,0,0,-0.34053,230.56,-0.20334,0,0,0,0.7472,10
107,2,-258.23,0.16194,0,0,0,-0.44442,258.23,-0.16194,0,0,0,0.7683,10
108,2,-279.76,0.12218,0,0,0,-0.53285,279.76,-0.12218,0,0,0,0.77722,10
109,2,-295.13,0.081047,0,0,0,-0.60896,295.13,-0.081047,0,0,0,0.77105,10
110,2,-304.36,0.041308,0,0,0,-0.67007,304.36,-0.041308,0,0,0,0.75268,10
111,2,-307.42,0.00012996,0,0,0,-0.7189,307.42,-0.00012996,0,0,0,0.71916,10
112,2,-304.35,-0.039615,0,0,0,-0.75266,304.35,0.039615,0,0,0,0.67343,10
113,2,-295.12,-0.08075,0,0,0,-0.77412,295.12,0.08075,0,0,0,0.61262,10
114,2,-279.76,-0.12052,0,0,0,-0.78058,279.76,0.12052,0,0,0,0.53953,10
115,2,-258.23,-0.16158,0,0,0,-0.77469,258.23,0.16158,0,0,0,0.45152,10
116,2,-230.56,-0.2018,0,0,0,-0.75402,230.56,0.2018,0,0,0,0.35042,10
117,2,-196.73,-0.24075,0,0,0,-0.71977,196.73,0.24075,0,0,0,0.23827,10
118,2,-156.76,-0.29104,0,0,0,-0.67658,156.76,0.29104,0,0,0,0.094485,10
119,2,-110.63,-0.28141,0,0,0,-0.59208,110.63,0.28141,0,0,0,0.029253,10
120,2,-58.409,-0.56464,0,0,0,-0.63092,58.409,0.56464,0,0,0,-0.49835,10
201,2,22.168,0.38646,0,0,0,0.29889,-22.168,-0.38646,0,0,0,0.47401,20
202,2,78.045,0.33488,0,0,0,0.1111,-78.045,-0.33488,0,0,0,0.55865,20
203,2,128.04,0.30793,0,0,0,-0.018207,-128.04,-0.30793,0,0,0,0.63407,20
204,2,171.84,0.26175,0,0,0,-0.16383,-171.84,-0.26175,0,0,0,0.68733,20
205,2,209.49,0.22347,0,0,0,-0.28407,-209.49,-0.22347,0,0,0,0.73101,20
206,2,241,0.18195,0,0,0,-0.39498,-241,-0.18195,0,0,0,0.75889,20
207,2,266.34,0.14229,0,0,0,-0.49009,-266.34,-0.14229,0,0,0,0.77467,20
208,2,285.56,0.1011,0,0,0,-0.57314,-285.56,-0.1011,0,0,0,0.77533,20
209,2,298.6,0.06139,0,0,0,-0.641,-298.6,-0.06139,0,0,0,0.76378,20
210,2,305.52,0.020196,0,0,0,-0.69673,-305.52,-0.020196,0,0,0,0.73712,20
211,2,306.26,-0.019546,0,0,0,-0.73727,-306.26,0.019546,0,0,0,0.69818,20
212,2,300.88,-0.060676,0,0,0,-0.7656,-300.88,0.060676,0,0,0,0.64426,20
213,2,289.33,-0.10046,0,0,0,-0.77887,-289.33,0.10046,0,0,0,0.57796,20
214,2,271.64,-0.14157,0,0,0,-0.77985,-271.64,0.14157,0,0,0,0.49671,20
215,2,247.8,-0.18132,0,0,0,-0.7658,-247.8,0.18132,0,0,0,0.40315,20
216,2,217.81,-0.22275,0,0,0,-0.73953,-217.81,0.22275,0,0,0,0.29403,20
217,2,181.66,-0.26105,0,0,0,-0.69758,-181.66,0.26105,0,0,0,0.17548,20
218,2,139.39,-0.30758,0,0,0,-0.6461,-139.39,0.30758,0,0,0,0.030947,20
219,2,90.893,-0.3327,0,0,0,-0.57161,-90.893,0.3327,0,0,0,-0.09379,20
220,2,36.541,-0.39203,0,0,0,-0.49185,-36.541,0.39203,0,0,0,-0.29221,20
401,2,-65.158,-0.24741,0,0,0,-0.29889,65.158,0.24741,0,0,0,-0.25433,40
402,2,64.526,-0.22802,0,0,0,-0.24989,-64.526,0.22802,0,0,0,-0.25998,40
403,2,-57.714,-0.27665,0,0,0,-0.32513,57.714,0.27665,0,0,0,-0.29347,40
404,2,58.004,-0.24967,0,0,0,-0.30734,-58.004,0.24967,0,0,0,-0.25093,40
405,2,-51.14,-0.23199,0,0,0,-0.28951,51.14,0.23199,0,0,0,-0.22924,40
406,2,51.127,-0.21006,0,0,0,-0.26889,-51.127,0.21006,0,0,0,-0.20081,40
407,2,-44.277,-0.20561,0,0,0,-0.26943,44.277,0.20561,0,0,0,-0.19033,40
408,2,44.312,-0.18247,0,0,0,-0.24821,-44.312,0.18247,0,0,0,-0.15981,40
409,2,-37.47,-0.17476,0,0,0,-0.24345,37.47,0.17476,0,0,0,-0.14732,40
410,2,37.513,-0.15253,0,0,0,-0.22234,-37.513,0.15253,0,0,0,-0.11873,40
411,2,-30.652,-0.14497,0,0,0,-0.21729,30.652,0.14497,0,0,0,-0.10686,40
412,2,30.674,-0.12308,0,0,0,-0.19592,-30.674,0.12308,0,0,0,-0.079299,40
413,2,-23.837,-0.11493,0,0,0,-0.1895,23.837,0.11493,0,0,0,-0.067496,40
414,2,23.886,-0.093487,0,0,0,-0.16795,-23.886,0.093487,0,0,0,-0.041088,40
415,2,-17.021,-0.084954,0,0,0,-0.16044,17.021,0.084954,0,0,0,-0.029516,40
416,2,17.041,-0.063983,0,0,0,-0.13875,-17.041,0.063983,0,0,0,-0.0043234,40
417,2,-10.205,-0.054958,0,0,0,-0.13001,10.205,0.054958,0,0,0,0.0071173,40
418,2,10.256,-0.034392,0,0,0,-0.1081,-10.256,0.034392,0,0,0,0.031197,40
419,2,-3.3895,-0.024971,0,0,0,-0.098251,3.3895,0.024971,0,0,0,0.042417,40
420,2,3.4085,-0.0048881,0,0,0,-0.076205,-3.4085,0.0048881,0,0,0,0.065275,40
421,2,3.4263,0.0050275,0,0,0,-0.065125,-3.4263,-0.0050275,0,0,0,0.076367,40
422,2,-3.3768,0.024702,0,0,0,-0.042866,3.3768,-0.024702,0,0,0,0.098101,40
423,2,10.242,0.035017,0,0,0,-0.030673,-10.242,-0.035017,0,0,0,0.10897,40
424,2,-10.22,0.054207,0,0,0,-0.0082825,10.22,-0.054207,0,0,0,0.12949,40
425,2,17.058,0.064999,0,0,0,0.0051218,-17.058,-0.064999,0,0,0,0.14022,40
426,2,-17.007,0.083796,0,0,0,0.027741,17.007,-0.083796,0,0,0,0.15963,40
427,2,23.874,0.094996,0,0,0,0.042266,-23.874,-0.094996,0,0,0,0.17015,40
428,2,-23.852,0.11329,0,0,0,0.065007,23.852,-0.11329,0,0,0,0.18833,40
429,2,30.69,0.12499,0,0,0,0.080766,-30.69,-0.12499,0,0,0,0.19873,40
430,2,-30.64,0.14293,0,0,0,0.10377,30.64,-0.14293,0,0,0,0.21582,40
431,2,37.504,0.15492,0,0,0,0.12056,-37.504,-0.15492,0,0,0,0.22584,40
432,2,-37.481,0.17223,0,0,0,0.14351,37.481,-0.17223,0,0,0,0.24161,40
433,2,44.325,0.18528,0,0,0,0.16194,-44.325,-0.18528,0,0,0,0.25236,40
434,2,-44.268,0.20271,0,0,0,0.18594,44.268,-0.20271,0,0,0,0.26732,40
435,2,51.121,0.2133,0,0,0,0.20329,-51.121,-0.2133,0,0,0,0.27364,40
436,2,-51.147,0.22844,0,0,0,0.22396,51.147,-0.22844,0,0,0,0.28684,40
437,2,58.016,0.25358,0,0,0,0.25382,-58.016,-0.25358,0,0,0,0.3132,40
438,2,-57.705,0.2735,0,0,0,0.28846,57.705,-0.2735,0,0,0,0.3231,40
439,2,64.512,0.231,0,0,0,0.26253,-64.512,-0.231,0,0,0,0.25398,40
440,2,-65.149,0.23997,0,0,0,0.24437,65.149,-0.23997,0,0,0,0.29221,40
102,3,235.25,-2.2791,0,0,0,-2.0092,-235.25,2.2791,0,0,0,-2.549,10
103,3,446.65,-1.145,0,0,0,0.11382,-446.65,1.145,0,0,0,-2.4037,10
104,3,634.55,-1.193,0,0,0,0.3759,-634.55,1.193,0,0,0,-2.7619,10
105,3,798.67,-0.99388,0,0,0,0.96158,-798.67,0.99388,0,0,0,-2.9494,10
106,3,939.12,-0.8481,0,0,0,1.4152,-939.12,0.8481,0,0,0,-3.1114,10
107,3,1055.8,-0.6882,0,0,0,1.8351,-1055.8,0.6882,0,0,0,-3.2115,10
108,3,1148.8,-0.53493,0,0,0,2.195,-1148.8,0.53493,0,0,0,-3.2649,10
109,3,1218,-0.37644,0,0,0,2.5075,-1218,0.37644,0,0,0,-3.2604,10
110,3,1263.6,-0.22123,0,0,0,2.7629,-1263.6,0.22123,0,0,0,-3.2054,10
111,3,1285.4,-0.073863,0,0,0,2.9648,-1285.4,0.073863,0,0,0,-3.1125,10
112,3,1283.5,0.093773,0,0,0,3.1436,-1283.5,-0.093773,0,0,0,-2.9561,10
113,3,1253.4,0.29349,0,0,0,3.2826,-1253.4,-0.29349,0,0,0,-2.6956,10
114,3,1195.2,0.47364,0,0,0,3.3324,-1195.2,-0.47364,0,0,0,-2.3851,10
115,3,1108.9,0.66174,0,0,0,3.329,-1108.9,-0.66174,0,0,0,-2.0055,10
116,3,994.39,0.84585,0,0,0,3.2576,-994.39,-0.84585,0,0,0,-1.5659,10
117,3,851.74,1.0243,0,0,0,3.1241,-851.74,-1.0243,0,0,0,-1.0754,10
118,3,680.98,1.2528,0,0,0,2.9489,-680.98,-1.2528,0,0,0,-0.44319,10
119,3,482.01,1.2176,0,0,0,2.5894,-482.01,-1.2176,0,0,0,-0.15429,10
120,3,255.15,2.4714,0,0,0,2.7705,-255.15,-2.4714,0,0,0,2.1723,10
201,3,-153.02,-1.5782,0,0,0,-1.1745,153.02,1.5782,0,0,0,-1.9819,20
